PARTICIPANT ID,SEX,EST. Current Age,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY
46,0,53,2015-05-24,Tamarack Ottawa Race Weekend,42.2,-1,F50-54,2014-05-25,Tamarack Ottawa Race Weekend,42.2,-1,F50-54,2014-04-27,Banque Scotia 21km et 5km,21,02:07:08,F50-54,2013-09-22,Marathon Oasis de Montreal,42.2,04:34:25,F50-54,2013-05-26,Ottawa Race Weekend,42.2,-1,F50-54,2013-04-28,Banque Scotia 21km et 5km,21,02:02:30,F50-54
47,0,33,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:18:21,F30-34
48,1,64,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:23:30,M60-64
49,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:31:04,M40-44
50,1,48,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:53:51,M45-49
51,0,28,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:19:55,F25-29
52,1,30,2012-09-23,Marathon Oasis de Montreal,42.2,03:14:23,M25-29
53,1,34,2013-09-22,Marathon Oasis de Montreal,42.2,04:16:56,M30-34,2013-04-28,Banque Scotia 21km et 5km,21,01:59:52,M30-34
54,0,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:34:13,F35-39
55,0,33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:50:23,F30-34
56,1,31,2013-09-22,Marathon Oasis de Montreal,42.2,03:25:47,M25-29
57,1,33,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,03:45:55,M30-34
58,0,28,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:32:51,F25-29
59,1,28,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:10:03,M25-29
60,1,36,2012-09-23,Marathon Oasis de Montreal,42.2,03:46:04,M30-34
61,1,29,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:49:07,M25-29,2013-09-22,Marathon Oasis de Montreal,42.2,03:47:05,M25-29
62,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:22:33,M40-44
63,0,33,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:50:04,F30-34
64,1,40,2014-04-27,Banque Scotia 21km et 5km,21,01:36:54,M35-39,2012-09-23,Marathon Oasis de Montreal,42.2,03:48:10,M35-39
65,1,51,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:38:44,M45-49,2014-04-27,Banque Scotia 21km et 5km,21,01:49:19,M45-49
